family	m1_age	m1c1_age	m1c1_mba	m1c2_age	m1c2_mba	m1c3_age	m1c3_mba	m1c4_age	m1c4_mba
F165	28.534246575342465	10.180821917808219	18.353424657534248	8.142465753424657	20.39178082191781	4.93972602739726	23.594520547945205	2.578082191780822	25.956164383561642
F193	48.35342465753425	12.353424657534246	36.0	10.534246575342467	37.81917808219178	3.8054794520547945	44.54794520547945	2.1534246575342464	46.2
F207	34.73150684931507	13.682191780821919	21.04931506849315	11.112328767123287	23.61917808219178	3.9945205479452053	30.736986301369864	0.736986301369863	33.99452054794521
F212	35.035616438356165	7.410958904109589	27.624657534246577	3.4164383561643836	31.61917808219178	0.13150684931506848	34.9041095890411	0.13150684931506848	34.9041095890411
F234	29.167123287671235	9.816438356164383	19.350684931506848	8.273972602739725	20.893150684931506	6.641095890410959	22.526027397260275	4.728767123287671	24.438356164383563
F235	31.994520547945207	10.454794520547946	21.53972602739726	8.03013698630137	23.964383561643835	5.249315068493151	26.745205479452054	2.813698630136986	29.18082191780822
F283	39.80821917808219	10.509589041095891	29.2986301369863	6.983561643835617	32.824657534246576	4.936986301369863	34.87123287671233	3.6986301369863015	36.10958904109589
F294	50.156164383561645	13.482191780821918	36.673972602739724	13.482191780821918	36.673972602739724	11.419178082191781	38.73698630136986	11.419178082191781	38.73698630136986
F301	43.0027397260274	11.978082191780821	31.024657534246575	6.49041095890411	36.512328767123286	6.49041095890411	36.512328767123286	2.8657534246575342	40.136986301369866
F316	40.797260273972604	15.421917808219177	25.375342465753423	10.271232876712329	30.526027397260275	8.057534246575342	32.73972602739726	6.257534246575342	34.53972602739726
