family	m1_age	m1_mba	m1c1_age	m1c1_mba	m1c2_age	m1c2_mba	m1c3_age	m1c3_mba
F131	47.04657534246575		13.550684931506849	33.49589041095891	10.323287671232876	36.723287671232875	6.980821917808219	40.06575342465754
F142	31.27123287671233		7.967123287671233	23.304109589041097	6.904109589041096	24.367123287671234	6.904109589041096	24.367123287671234
F166	39.1013698630137		17.16986301369863	21.931506849315067	8.386301369863014	30.715068493150685	6.676712328767123	32.42465753424658
F167	57.49041095890411		23.495890410958904	33.99452054794521	20.273972602739725	37.21643835616438	16.136986301369863	41.35342465753425
F181	43.172602739726024		15.073972602739726	28.0986301369863	12.112328767123287	31.06027397260274	8.835616438356164	34.33698630136986
F186	30.78904109589041		4.323287671232877	26.465753424657535	2.4684931506849317	28.32054794520548	0.17534246575342466	30.613698630136987
F191	30.115068493150684		4.764383561643836	25.350684931506848	2.7753424657534245	27.339726027397262	1.4383561643835616	28.676712328767124
F192	33.52054794520548		9.389041095890411	24.13150684931507	6.53972602739726	26.980821917808218	0.4931506849315068	33.02739726027397
F194	42.07945205479452		16.84109589041096	25.23835616438356	15.038356164383561	27.041095890410958	12.150684931506849	29.92876712328767
F196	33.09315068493151		10.26849315068493	22.824657534246576	4.8273972602739725	28.265753424657536	3.241095890410959	29.852054794520548
F200	32.42465753424658		9.506849315068493	22.91780821917808	4.93972602739726	27.484931506849314	0.2821917808219178	32.14246575342466
F202	41.3041095890411		13.863013698630137	27.44109589041096	11.967123287671233	29.336986301369862	10.526027397260274	30.778082191780822
F239	24.96712328767123	30.832876712328765	4.284931506849315	20.682191780821917	2.504109589041096	22.46301369863014	2.504109589041096	22.46301369863014
F250	37.723287671232875		15.12054794520548	22.602739726027398	12.682191780821919	25.041095890410958	5.260273972602739	32.463013698630135
F268	31.764383561643836		6.578082191780822	25.186301369863013	4.323287671232877	27.44109589041096	0.09315068493150686	31.671232876712327
F284	36.64383561643836		9.254794520547945	27.389041095890413	6.008219178082192	30.635616438356163	2.0712328767123287	34.57260273972603
F287	42.33150684931507		19.794520547945204	22.53698630136986	12.479452054794521	29.852054794520548	9.816438356164383	32.515068493150686
F302	41.43561643835616		12.315068493150685	29.12054794520548	8.947945205479453	32.487671232876714	8.947945205479453	32.487671232876714
FM	38.86027397260274		10.830136986301369	28.03013698630137	4.572602739726028	34.28767123287671	1.515068493150685	37.345205479452055
